Term,args.go,filepathutils.go,filereader.go,invIndex.go,main.go,matrix.go,normilizer.go,rpn.go,tokenizer.go,../is1/files/SampleTextFile_200kb.txt,../is1/files/zbrka-tvorv.fb2,../is1/args.go,../is1/dictionary.go,../is1/dictionary.txt,../is1/file_utils.go,../is1/loader.go,../is1/main.go
',1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
'',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'-',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'0',0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
'1',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'help,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
-',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
-chan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-dirs,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-exts,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-minsize,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-out,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-query,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
1-й,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2-й,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3-й,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3амірок,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4вел,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
821,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
978-617-12-0495-9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
978-617-12-0740-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a-za-zа-яа-яїїєє,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ac,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
accumsan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
